category,name,formula_latex,formula_ascii,description,parameters,parameter_values,complexity_time,complexity_space,pipeline_stages,is_lossless,prerequisites
ENTROPY_MEASURE,Shannon Entropy,H(X) = -\sum_{i=1}^{n} p(x_i) \log_2 p(x_i),H(X) = -SUM(p(x_i) * log2(p(x_i))) for i=1 to n,Fundamental measure of information content; theoretical minimum bits per symbol,"{""n"": ""alphabet size"", ""p(x_i)"": ""probability of symbol i""}","{""base"": 2}",O(n),O(n),[0],True,[]
ENTROPY_MEASURE,Shannon Entropy,H(X) = -\sum_{i=1}^{n} p(x_i) \log_2 p(x_i),H(X) = -SUM(p(x_i) * log2(p(x_i))) for i=1 to n,Fundamental measure of information content; theoretical minimum bits per symbol,"{""n"": ""alphabet size"", ""p(x_i)"": ""probability of symbol i""}","{""base"": ""e""}",O(n),O(n),[0],True,[]
ENTROPY_MEASURE,Shannon Entropy,H(X) = -\sum_{i=1}^{n} p(x_i) \log_2 p(x_i),H(X) = -SUM(p(x_i) * log2(p(x_i))) for i=1 to n,Fundamental measure of information content; theoretical minimum bits per symbol,"{""n"": ""alphabet size"", ""p(x_i)"": ""probability of symbol i""}","{""base"": 10}",O(n),O(n),[0],True,[]
ENTROPY_MEASURE,Conditional Entropy,H(X|Y) = -\sum_{y} p(y) \sum_{x} p(x|y) \log_2 p(x|y),H(X|Y) = -SUM_y(p(y) * SUM_x(p(x|y) * log2(p(x|y)))),Expected entropy of X given knowledge of Y; basis for context modeling,"{""X"": ""target variable"", ""Y"": ""conditioning variable""}",{},O(|X| * |Y|),O(|X| * |Y|),[0],True,[]
ENTROPY_MEASURE,Mutual Information,"I(X;Y) = H(X) - H(X|Y) = \sum_{x,y} p(x,y) \log_2 \frac{p(x,y)}{p(x)p(y)}","I(X;Y) = H(X) - H(X|Y) = SUM(p(x,y) * log2(p(x,y) / (p(x)*p(y))))",Information shared between two variables; guides context selection,"{""X"": ""first variable"", ""Y"": ""second variable""}",{},O(|X| * |Y|),O(|X| * |Y|),[0],True,[]
ENTROPY_MEASURE,Kolmogorov Complexity,K(x) = \min\{|p| : U(p) = x\},K(x) = min{|p| : U(p) = x} (length of shortest program),Theoretical minimum description length; incomputable but guides algorithm design,"{""U"": ""universal Turing machine"", ""p"": ""program""}",{},Incomputable,Incomputable,[0],True,[]
ENTROPY_MEASURE,Rényi Entropy,H_\alpha(X) = \frac{1}{1-\alpha} \log_2 \sum_{i=1}^{n} p_i^\alpha,H_alpha(X) = (1/(1-alpha)) * log2(SUM(p_i^alpha)),"Generalized entropy; alpha=1 gives Shannon entropy, alpha=0 gives Hartley entropy","{""alpha"": ""order parameter (\u03b1 \u2265 0, \u03b1 \u2260 1)""}","{""alpha"": 0}",O(n),O(n),[0],True,[]
ENTROPY_MEASURE,Rényi Entropy,H_\alpha(X) = \frac{1}{1-\alpha} \log_2 \sum_{i=1}^{n} p_i^\alpha,H_alpha(X) = (1/(1-alpha)) * log2(SUM(p_i^alpha)),"Generalized entropy; alpha=1 gives Shannon entropy, alpha=0 gives Hartley entropy","{""alpha"": ""order parameter (\u03b1 \u2265 0, \u03b1 \u2260 1)""}","{""alpha"": 0.5}",O(n),O(n),[0],True,[]
ENTROPY_MEASURE,Rényi Entropy,H_\alpha(X) = \frac{1}{1-\alpha} \log_2 \sum_{i=1}^{n} p_i^\alpha,H_alpha(X) = (1/(1-alpha)) * log2(SUM(p_i^alpha)),"Generalized entropy; alpha=1 gives Shannon entropy, alpha=0 gives Hartley entropy","{""alpha"": ""order parameter (\u03b1 \u2265 0, \u03b1 \u2260 1)""}","{""alpha"": 2}",O(n),O(n),[0],True,[]
ENTROPY_MEASURE,Rényi Entropy,H_\alpha(X) = \frac{1}{1-\alpha} \log_2 \sum_{i=1}^{n} p_i^\alpha,H_alpha(X) = (1/(1-alpha)) * log2(SUM(p_i^alpha)),"Generalized entropy; alpha=1 gives Shannon entropy, alpha=0 gives Hartley entropy","{""alpha"": ""order parameter (\u03b1 \u2265 0, \u03b1 \u2260 1)""}","{""alpha"": Infinity}",O(n),O(n),[0],True,[]
TRANSFORM,Burrows-Wheeler Transform,"BWT(s) = L \text{ where } M = \text{sort}(\text{rotations}(s)), L = \text{last\_column}(M)",BWT(s) = last_column(sort(all_rotations(s))),Reversible transform that groups similar contexts together; basis for bzip2,"{""s"": ""input string""}",{},O(n log n),O(n),[1],True,[]
TRANSFORM,Move-to-Front Transform,MTF(s_i) = \text{position of } s_i \text{ in list } L; \text{ move } s_i \text{ to front},"MTF(s_i) = index_of(s_i, L); then move s_i to L[0]",Exploits locality by outputting small numbers for recently-seen symbols,"{""alphabet_size"": ""size of symbol alphabet""}","{""alphabet_size"": 256}",O(n * |Σ|),O(|Σ|),[2],True,"[""Burrows-Wheeler Transform""]"
